SNo.,EID,ENTITY NAME,TYPE,SWIFT
1,003,Abu Dhabi Commercial Bank,BK,ADCBAEAAXXX
2,004,Al Ahli Bank Of Kuwait K.S.C.,BK,ABKKAEADXXX
3,005,Rafidain Bank,BK,RAFBAEADXXX
4,007,Arab African International Bank,BK,ARAIAEADXXX
5,008,Al Masraf,BK,ABINAEAAXXX
6,009,Arab Bank,BK,ARABAEADXXX
7,010,Bank Melli Iran,BK,MELIAEADXXX
8,011,Bank of Baroda,BK,BARBAEADXXX
9,012,Bank of Sharjah,BK,SHARAEASXXX
10,013,Bank Saderat Iran,BK,BSIRAEADXXX
11,014,Banque Banorient France,BK,BLOMAEADXXX
12,015,Banque Misr,BK,BMISAEAAXXX
13,016,Credit Agricole Corporate and Investment Bank,BK,BSUIAEADXXX
14,017,Al Khaliji France S.A.,BK,LICOAEADXXX
15,018,BNP Paribas,BK,BNPAAEAAXXX
16,019,Barclays Bank,BK,BARCAEADXXX
17,020,HSBC Bank Middle East,BK,BBMEAEADXXX
18,021,Citibank NA,BK,CITIAEADXXX
19,022,Commercial Bank International PSC,BK,CLBIAEADXXX
20,023,Commercial Bank of Dubai,BK,CBDUAEADXXX
21,024,Dubai Islamic Bank,BK,DUIBAEADXXX
22,025,El Nilein Bank,BK,NILBAEAAXXX
23,026,EmiratesNBD Bank PJSC,BK,EBILAEADXXX
24,027,First Abu Dhabi Bank - Erstwhile FGB,BK,FGBMAEAAXXX
25,028,Habib Bank Limited,BK,HABBAEADXXX
26,029,Habib Bank AG Zurich,BK,HBZUAEADXXX
27,030,Investbank PSC,BK,IBTFAEASXXX
28,031,Janata Bank,BK,JANBAEAAXXX
29,032,Lloyds TSB,BK,LOYDAEADXXX
30,033,Mashreqbank,BK,BOMLAEADXXX
31,034,Emirates Islamic Bank PJSC,BK,MEBLAEADXXX
32,035,First Abu Dhabi Bank,BK,NBADAEAAXXX
33,036,National Bank Of Bahrain,BK,NBOBAEAAXXX
34,038,National Bank Of Fujairah,BK,NBFUAEAFXXX
35,039,National Bank of Oman,BK,NBOMAEADXXX
36,040,RAK Bank,BK,NRAKAEAKXXX
37,041,Sharjah Islamic Bank,BK,NBSHAEASXXX
38,042,National Bank Of Umm Al Qaiwain,BK,UMMQAEADXXX
39,043,Industrial and Commercial Bank of China,BK,ICBKAEAAXXX
40,044,Standard Chartered Bank,BK,SCBLAEADXXX
41,045,ABUDHABI COMMERCIAL BANK Erstwhile UNB,BK,UNBEAEAAXXX
42,046,United Arab Bank,BK,UARBAEAAXXX
43,047,United Bank Ltd.,BK,UNILAEADXXX
44,048,Emirates Investment Bank,BK,AEINAEADXXX
45,049,Deutsche Bank,BK,DEUTAEAAXXX
46,050,Abu Dhabi Islamic Bank,BK,ABDIAEADXXX
