ProcessDefId,DatabaseName,DatabaseType,UserId,PWD,TABLEName,ExtObjID,HostName,Service,Port,SecurityFlag,SortingColumn,ProcessVariantId,HistoryTableName
"4","online","local"," "," ","NG_CC_EXTTABLE","1"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_SearchCustomer","2"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_CustomeDetails","3"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_Decision","4"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_BasicCustomerDetails","5"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_CurrentAddress","6"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_EmploymentDetails","7"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_IncomeDetails","8"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_SalaryAlStHistory","9"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_CompanyDetails","10"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_CustomerDetails","11"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_EXISTINGLIABILITIES","12"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_CustomerInfo","13"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_DirectLiabilities","14"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_InDirectLiabilities","15"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_FinacleCore","16"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_RLSCollections","17"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_ALOC","18"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_DED","19"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_OMNIDOCS","20"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_BCS","21"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_CRS","22"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_RB5","23"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_WorldCheck","24"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_MOL","25"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_EmpPortfoloioSumm","26"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_SalDetails","27"," "," ","0","Y"," ","0"," "
"4","online","local"," "," ","NG_CC_RejectEnq","28"," "," ","0","Y"," ","0"," "
